SWV ITM Data Console - ITM Port: 0
-1045.469238
X: -8.909090, Y: 164.291245, Z: -1030.897949
X: -3.575756, Y: 162.893204, Z: -1034.938721
X: 2.000001, Y: 160.563095, Z: -1045.224365
X: 7.575758, Y: 163.126205, Z: -1041.918335
X: 16.181818, Y: 163.592239, Z: -1044.244873
X: 10.969697, Y: 174.660187, Z: -1030.897949
X: -4.666665, Y: 168.485428, Z: -1038.979492
X: 7.818182, Y: 158.932037, Z: -1042.653076
X: -1.030303, Y: 157.533981, Z: -1043.142822
X: -4.909089, Y: 163.126205, Z: -1040.693848
X: -5.636362, Y: 170.815521, Z: -1039.102051
X: 3.939394, Y: 174.194168, Z: -1041.673462
X: 10.969697, Y: 174.427170, Z: -1033.346924
X: 8.303030, Y: 165.805832, Z: -1043.265259
X: 11.818182, Y: 159.980576, Z: -1041.428467
X: -0.545454, Y: 160.912613, Z: -1038.857178
X: -5.151514, Y: 160.213577, Z: -1040.816284
X: -3.818180, Y: 162.310669, Z: -1039.469360
X: -0.303030, Y: 168.368927, Z: -1040.081543
X: 2.363637, Y: 170.932037, Z: -1026.367310
X: -3.454544, Y: 173.844666, Z: -1036.530518
X: 2.848485, Y: 172.563095, Z: -1040.571289
X: 10.121212, Y: 167.203873, Z: -1042.285645
X: -1.272727, Y: 164.640762, Z: -1041.428467
X: -10.969696, Y: 157.533981, Z: -1038.367310
X: -4.060605, Y: 160.679611, Z: -1037.755127
X: 8.060606, Y: 169.067963, Z: -1040.571289
X: 4.060606, Y: 169.533981, Z: -1036.408203
X: -0.909091, Y: 165.456314, Z: -1043.020386
X: -2.848483, Y: 169.883484, Z: -1040.204102
X: -4.060605, Y: 164.407761, Z: -1040.448975
X: -3.333332, Y: 168.368927, Z: -1041.428467
X: 5.878788, Y: 162.893204, Z: -1041.918335
X: 12.424242, Y: 168.718445, Z: -1041.183594
X: 7.818182, Y: 172.330093, Z: -1044.244873
X: -1.151515, Y: 171.281555, Z: -1041.183594
X: 0.545455, Y: 168.252411, Z: -1039.102051
X: 6.969697, Y: 171.747574, Z: -1041.795898
X: -0.666666, Y: 168.601929, Z: -1038.979492
X: 8.424243, Y: 170.582520, Z: -1041.551025
X: 4.545455, Y: 169.417480, Z: -1041.795898
X: 5.636364, Y: 168.485428, Z: -1037.142822
X: 1.151515, Y: 168.834946, Z: -1038.489746
X: 5.636364, Y: 167.902908, Z: -1040.816284
X: 4.181818, Y: 166.854355, Z: -1040.204102
X: -1.272727, Y: 165.456314, Z: -1041.306152
X: 4.545455, Y: 168.834946, Z: -1040.448975
X: 0.303031, Y: 171.281555, Z: -1037.632568
X: 2.363637, Y: 173.495148, Z: -1037.142822
X: 4.909091, Y: 169.650482, Z: -1039.102051
X: 6.242424, Y: 164.407761, Z: -1039.959229
X: 3.454546, Y: 167.902908, Z: -1037.020386
X: 4.181818, Y: 165.572815, Z: -1041.551025
X: 2.363637, Y: 168.601929, Z: -1037.142822
X: 8.424243, Y: 169.883484, Z: -1038.000000
X: 8.060606, Y: 167.902908, Z: -1041.918335
X: 9.636364, Y: 164.291245, Z: -1039.836670
X: 7.090909, Y: 162.427170, Z: -1043.142822
X: 4.909091, Y: 169.184464, Z: -1040.571289
X: -5.272726, Y: 165.223297, Z: -1040.204102
X: 6.121212, Y: 170.116486, Z: -1040.326416
X: 7.575758, Y: 168.368927, Z: -1041.428467
X: -2.121212, Y: 161.495148, Z: -1042.653076
X: 12.060606, Y: 168.834946, Z: -1035.551025
X: 2.363637, Y: 165.572815, Z: -1043.510132
X: 4.060606, Y: 164.873779, Z: -1038.122437
X: 2.727273, Y: 165.689316, Z: -1038.489746
X: 1.272728, Y: 165.456314, Z: -1040.816284
X: 6.606061, Y: 168.368927, Z: -1034.693848
X: 0.303031, Y: 164.174744, Z: -1043.142822
X: 6.000000, Y: 167.669907, Z: -1038.122437
X: 4.060606, Y: 167.436890, Z: -1040.326416
X: 2.848485, Y: 164.873779, Z: -1041.061279
X: 5.757576, Y: 171.398056, Z: -1038.734619
X: 4.060606, Y: 167.087372, Z: -1040.816284
X: 3.818182, Y: 167.902908, Z: -1038.612305
X: 2.484849, Y: 169.999985, Z: -1037.632568
X: 4.424242, Y: 169.417480, Z: -1039.591797
X: 4.303030, Y: 165.223297, Z: -1038.244873
X: 6.727273, Y: 165.106796, Z: -1038.000000
X: 4.909091, Y: 168.834946, Z: -1040.693848
X: 0.787879, Y: 169.766983, Z: -1041.918335
X: 2.606061, Y: 168.252411, Z: -1040.204102
X: 6.484849, Y: 170.466003, Z: -1039.591797
X: 5.393939, Y: 167.786407, Z: -1035.183594
X: -0.545454, Y: 169.650482, Z: -1039.469360
X: 3.212122, Y: 168.718445, Z: -1040.571289
X: 1.757576, Y: 162.310669, Z: -1038.979492
X: 5.757576, Y: 162.893204, Z: -1038.734619
X: 2.606061, Y: 165.339798, Z: -1041.183594
X: -1.515151, Y: 170.815521, Z: -1037.387695
X: 3.939394, Y: 171.514557, Z: -1037.632568
X: 5.151515, Y: 169.300964, Z: -1041.918335
X: 8.303030, Y: 166.621353, Z: -1043.142822
X: 4.666667, Y: 163.126205, Z: -1041.306152
X: 4.181818, Y: 165.922318, Z: -1041.306152
X: 0.909091, Y: 168.135910, Z: -1040.571289
X: 2.969697, Y: 168.951447, Z: -1039.959229
X: 7.939394, Y: 166.970871, Z: -1038.734619
X: 6.606061, Y: 165.572815, Z: -1040.938721
X: 7.818182, Y: 166.737854, Z: -1039.346924
X: 5.151515, Y: 171.631073, Z: -1037.877563
X: 3.818182, Y: 168.951447, Z: -1041.183594
X: 2.969697, Y: 169.300964, Z: -1038.734619
X: 0.060606, Y: 164.407761, Z: -1037.265259
X: 2.242425, Y: 167.320389, Z: -1039.224365
X: 2.848485, Y: 169.766983, Z: -1041.061279
X: 4.424242, Y: 167.786407, Z: -1042.163208
X: 5.151515, Y: 171.165039, Z: -1041.795898
X: -0.909091, Y: 167.553391, Z: -1040.204102
X: 4.666667, Y: 171.281555, Z: -1040.571289
X: 0.909091, Y: 169.766983, Z: -1041.673462
X: 1.515152, Y: 165.922318, Z: -1038.489746
X: -0.787878, Y: 171.398056, Z: -1038.367310
X: 5.636364, Y: 169.067963, Z: -1040.448975
X: 3.333334, Y: 165.456314, Z: -1039.591797
X: 2.727273, Y: 168.718445, Z: -1040.816284
X: 2.363637, Y: 170.466003, Z: -1042.285645
X: 2.969697, Y: 168.601929, Z: -1039.591797
X: 5.151515, Y: 170.466003, Z: -1038.000000
X: 4.424242, Y: 167.786407, Z: -1037.632568
X: 4.545455, Y: 170.582520, Z: -1039.224365
X: 4.787879, Y: 167.902908, Z: -1037.755127
X: 5.151515, Y: 167.203873, Z: -1039.469360
X: 1.878788, Y: 168.368927, Z: -1038.612305
X: 0.424243, Y: 166.504852, Z: -1041.306152
X: 6.121212, Y: 168.718445, Z: -1039.836670
X: 3.696970, Y: 169.766983, Z: -1037.387695
X: 4.181818, Y: 170.815521, Z: -1038.367310
X: 6.121212, Y: 170.233002, Z: -1038.734619
X: 3.333334, Y: 167.203873, Z: -1037.632568
X: -1.272727, Y: 166.388336, Z: -1041.183594
X: 3.939394, Y: 164.990280, Z: -1040.816284
X: 3.939394, Y: 171.398056, Z: -1038.489746
X: 4.545455, Y: 170.349503, Z: -1040.204102
X: 1.151515, Y: 168.135910, Z: -1039.346924
X: 4.181818, Y: 166.504852, Z: -1041.061279
X: 7.212121, Y: 169.184464, Z: -1037.632568
X: 3.939394, Y: 165.689316, Z: -1039.469360
X: 4.060606, Y: 166.388336, Z: -1039.224365
X: 0.787879, Y: 168.601929, Z: -1041.061279
X: 2.969697, Y: 168.252411, Z: -1041.673462
X: 4.666667, Y: 168.485428, Z: -1037.387695
X: 3.090910, Y: 165.805832, Z: -1038.244873
X: 6.606061, Y: 168.252411, Z: -1038.979492
X: 4.424242, Y: 170.699020, Z: -1040.816284
X: 1.757576, Y: 169.883484, Z: -1038.244873
X: 4.909091, Y: 168.834946, Z: -1040.081543
X: 5.151515, Y: 166.038818, Z: -1036.653076
X: 3.090910, Y: 168.135910, Z: -1039.346924
X: 1.030303, Y: 167.203873, Z: -1042.408081
X: 0.787879, Y: 165.689316, Z: -1040.816284
X: 4.909091, Y: 170.699020, Z: -1038.367310
X: 1.757576, Y: 169.533981, Z: -1041.061279
X: 5.030303, Y: 169.300964, Z: -1039.469360
X: 3.939394, Y: 166.970871, Z: -1039.102051
X: 3.696970, Y: 166.854355, Z: -1039.469360
