SWV ITM Data Console - ITM Port: 0
X: 280.303009, Y: 333.223297, Z: -32.326530
X: 178.484848, Y: 282.077667, Z: 225.306122
X: 61.757572, Y: 197.145630, Z: 253.714294
X: -44.181816, Y: 195.281555, Z: 211.102020
X: 51.212120, Y: 297.106812, Z: 189.306107
X: 315.818146, Y: 393.339813, Z: 278.448975
X: 517.393921, Y: 187.009705, Z: 224.571442
X: 480.060577, Y: 93.456306, Z: -222.244904
X: 782.121155, Y: -12.679611, Z: 8.448982
X: 1027.333252, Y: -248.252411, Z: 137.265289
X: 1203.333252, Y: -299.048553, Z: 85.346939
X: 1465.878662, Y: -462.504822, Z: 187.346924
X: 1591.939331, Y: -614.427185, Z: 112.530609
X: 1483.696899, Y: -678.155334, Z: -304.040802
X: 1456.302979, Y: -849.999939, Z: -127.959183
X: 1420.181763, Y: -802.815491, Z: -16.897961
X: 1295.333252, Y: -663.825256, Z: -146.571426
X: 893.272705, Y: -893.922302, Z: -297.061218
X: 527.818176, Y: -838.582520, Z: -212.204086
X: 610.363586, Y: -710.194153, Z: 30.857140
X: 543.575745, Y: -700.873779, Z: -265.714294
X: 402.969666, Y: -625.495117, Z: -276.734680
X: 455.818146, Y: -523.087341, Z: -262.285706
X: 710.848389, Y: -582.854370, Z: -273.551025
X: 713.636292, Y: -670.349487, Z: -271.469360
X: 702.727234, Y: -645.999939, Z: -51.551022
X: 917.636292, Y: -795.242676, Z: 54.612244
X: 1161.999878, Y: -1148.601929, Z: -53.632652
X: 1229.999878, Y: -821.106812, Z: -77.265305
X: 1253.030273, Y: -663.941711, Z: 302.204071
X: 1448.545288, Y: -533.106750, Z: 305.755096
X: 1337.757446, Y: -273.300964, Z: 174.612244
X: 1386.605957, Y: -5.223301, Z: 252.244904
X: 1434.363525, Y: 2.932038, Z: 139.469376
X: 1241.757446, Y: 212.407761, Z: 12.979591
X: 1161.030273, Y: 176.291245, Z: -130.163269
X: 772.181763, Y: 304.796112, Z: -36.979591
X: 664.181824, Y: 212.174744, Z: 54.000000
X: 231.212112, Y: 146.233002, Z: 158.693863
X: -47.454540, Y: 269.611633, Z: 307.714264
X: 20.909092, Y: 195.165039, Z: 73.346924
X: 2.242425, Y: 386.932037, Z: 137.387756
X: 307.454498, Y: 461.495117, Z: 152.326523
X: 432.303009, Y: 279.165039, Z: 158.448975
X: 310.969666, Y: 165.339798, Z: -11.387756
X: 646.969666, Y: 74.582520, Z: 7.591835
X: 1072.181763, Y: -97.728157, Z: 123.918350
X: 1174.484741, Y: -272.135925, Z: 104.204071
X: 1282.363647, Y: -416.368927, Z: 275.877563
X: 1374.969604, Y: -483.126190, Z: 206.571411
X: 1418.848389, Y: -559.902893, Z: -11.510204
X: 1374.727173, Y: -601.495117, Z: -72.612244
X: 1446.605957, Y: -510.504822, Z: -45.183674
X: 1381.272583, Y: -557.223328, Z: -306.979584
X: 1231.818115, Y: -527.281555, Z: -304.408142
X: 1177.272705, Y: -541.262146, Z: -62.938774
X: 923.212036, Y: -481.844666, Z: -79.469391
X: 844.424133, Y: -438.271820, Z: -146.326538
X: 772.545410, Y: -404.718445, Z: -201.428558
X: 625.515137, Y: -436.291229, Z: -192.612228
X: 678.000000, Y: -439.320374, Z: -248.571426
X: 749.636292, Y: -517.611572, Z: -283.102051
X: 934.242371, Y: -503.165039, Z: -234.489792
X: 1073.515137, Y: -730.932007, Z: -65.510208
X: 1273.151489, Y: -771.825195, Z: 7.591835
X: 1321.636353, Y: -664.873718, Z: 65.755096
X: 1357.393799, Y: -589.378662, Z: 294.489777
X: 1428.545410, Y: -404.485413, Z: 368.204071
X: 1376.787842, Y: -161.223297, Z: 284.448975
X: 1375.696777, Y: -51.592232, Z: 306.612244
X: 1255.939331, Y: 122.466019, Z: 65.510201
X: 1044.060547, Y: 190.970871, Z: -40.775513
X: 846.606018, Y: 257.728119, Z: -218.448975
X: 549.272705, Y: 333.339783, Z: -2.816330
X: 409.999969, Y: 212.873779, Z: 22.285713
X: 83.818176, Y: 202.621353, Z: 92.816315
X: 18.363636, Y: 93.805824, Z: 89.510208
X: 26.969696, Y: 92.407761, Z: 88.408157
X: 165.393921, Y: -15.708737, Z: 43.102043
X: 423.818146, Y: -220.873779, Z: 79.469376
X: 588.545410, Y: -238.699020, Z: 42.122444
X: 1210.000000, Y: -312.330078, Z: 127.591827
X: 1249.030273, Y: -356.718445, Z: -44.816326
X: 1524.545410, Y: -448.524261, Z: -259.102051
X: 1651.454346, Y: -392.135925, Z: 147.061218
X: 1545.515015, Y: -461.805817, Z: -250.040802
X: 1410.242310, Y: -637.961121, Z: -264.979584
X: 1116.302979, Y: -740.252380, Z: -161.755096
X: 960.545410, Y: -819.475708, Z: -280.530609
X: 687.696899, Y: -843.009705, Z: -149.142853
X: 729.393921, Y: -917.689270, Z: -320.693878
X: 707.454468, Y: -726.038757, Z: -215.632645
X: 809.636292, Y: -599.281494, Z: -137.755096
X: 743.939331, Y: -616.873718, Z: -232.285706
X: 685.515137, Y: -426.854340, Z: -168.367340
X: 767.939331, Y: -562.232971, Z: -169.836731
X: 898.727173, Y: -681.300964, Z: -216.244888
X: 779.575745, Y: -713.106812, Z: -132.612244
X: 1205.999878, Y: -964.757263, Z: 31.469383
X: 1241.151367, Y: -1067.747559, Z: -67.469391
X: 1243.575684, Y: -928.757263, Z: -131.265305
X: 1348.181641, Y: -819.708740, Z: 41.510201
X: 1205.757446, Y: -629.106750, Z: 113.387756
X: 1104.424194, Y: -430.116486, Z: 36.612244
X: 1048.181641, Y: 40.446602, Z: 73.714279
X: 1342.363525, Y: 162.543686, Z: 84.979599
X: 1245.030151, Y: 519.281494, Z: 206.693848
X: 1243.333252, Y: 290.349487, Z: -61.469387
X: 783.454468, Y: 47.203880, Z: -182.938766
X: 118.121208, Y: -54.970871, Z: 212.204071
X: -178.848465, Y: -94.233002, Z: 229.102051
X: -302.969666, Y: -80.718445, Z: 310.775482
X: -129.515137, Y: 103.475723, Z: 275.510193
X: 266.606049, Y: 118.504852, Z: 194.938766
X: 652.545410, Y: 229.650482, Z: 124.775513
X: 1147.090820, Y: 300.718414, Z: 270.367310
X: 1134.848389, Y: -325.611633, Z: 221.755096
X: 781.636292, Y: -516.213562, Z: -311.387756
X: 1229.393799, Y: -390.970856, Z: -236.938766
X: 1712.545410, Y: -500.601898, Z: 128.448975
X: 1497.272705, Y: -542.660217, Z: -200.081635
X: 1357.878784, Y: -703.786377, Z: -242.448975
X: 1064.424194, Y: -956.718445, Z: -147.795929
X: 959.696899, Y: -692.485413, Z: -242.571426
X: 1028.545410, Y: -911.631042, Z: -252.612244
X: 592.302979, Y: -900.330078, Z: -301.346924
X: 612.666626, Y: -838.699036, Z: -126.367348
X: 715.696960, Y: -723.126160, Z: -138.979584
X: 603.454468, Y: -703.320374, Z: -351.306091
X: 702.484802, Y: -550.349487, Z: -309.306091
X: 743.090881, Y: -736.640747, Z: -326.571411
X: 736.545410, Y: -750.271790, Z: -338.693878
X: 810.606018, Y: -860.252441, Z: -381.918335
X: 845.393860, Y: -1053.766968, Z: -446.571411
X: 811.454529, Y: -783.708740, Z: -140.081635
X: 1034.969604, Y: -1007.281494, Z: -110.326530
X: 1314.605957, Y: -1164.562988, Z: -351.795898
X: 1314.969604, Y: -860.834900, Z: -239.999985
X: 1269.030151, Y: -597.067932, Z: -18.244900
X: 1260.060425, Y: -335.514557, Z: -163.714294
X: 1183.818115, Y: 16.330095, Z: -27.306122
X: 1213.878662, Y: 138.893204, Z: 57.183670
X: 1217.999878, Y: 223.708740, Z: -140.571426
X: 1104.181763, Y: 391.359222, Z: -203.142853
X: 910.121155, Y: 125.378647, Z: -115.959183
X: 368.909058, Y: 139.825226, Z: 42.367348
X: 59.818180, Y: 122.932037, Z: 393.428558
X: -186.727264, Y: 142.271835, Z: 369.550995
X: -172.787857, Y: 77.961159, Z: 460.408142
X: -236.787857, Y: 239.203873, Z: 171.428558
X: 181.999985, Y: 223.592224, Z: 160.897949
X: 351.575745, Y: 29.844662, Z: 180.367340
X: 425.515106, Y: 229.766983, Z: -353.142853
X: 1421.636353, Y: 35.436893, Z: 220.285706
X: 1083.696899, Y: 14.349514, Z: -646.775513
X: 1700.181641, Y: -144.097076, Z: -78.612244
X: 1301.030273, Y: -445.029114, Z: -239.510208
X: 1166.727295, Y: -710.310669, Z: -203.510208
X: 1249.878662, Y: -631.203857, Z: 90.857132
X: 1275.212036, Y: -734.427124, Z: -285.673462
X: 1001.272644, Y: -936.213562, Z: -429.918365
X: 746.484802, Y: -1106.660156, Z: -463.836700
X: 848.787781, Y: -803.048523, Z: -274.653076
X: 913.515076, Y: -821.572815, Z: -378.857117
X: 797.030212, Y: -734.427124, Z: -368.816315
X: 834.969604, Y: -682.699036, Z: -163.346939
X: 923.575745, Y: -669.766968, Z: -150.367340
X: 729.030212, Y: -870.038818, Z: -271.224487
X: 756.545349, Y: -803.048523, Z: -189.428574
X: 826.484802, Y: -920.368896, Z: -146.693878
X: 888.424133, Y: -1010.427124, Z: -279.795898
X: 1004.060547, Y: -1001.223267, Z: -171.061218
X: 1265.393799, Y: -1101.533936, Z: -241.591827
X: 1294.363647, Y: -849.650452, Z: -146.204071
X: 1304.424194, Y: -770.427185, Z: -89.510208
X: 1486.363525, Y: -452.485413, Z: -124.653061
X: 1272.666504, Y: -177.067963, Z: -1.469387
X: 1127.212036, Y: -56.019413, Z: -44.204082
X: 1160.787842, Y: 159.281555, Z: -50.326530
X: 844.181763, Y: 305.145630, Z: -6.979591
X: 681.636292, Y: 224.291245, Z: -29.877552
X: 297.636322, Y: 219.631058, Z: 378.489807
X: 116.787872, Y: 112.912621, Z: 343.959198
X: -176.666656, Y: 48.485435, Z: 277.224457
X: -266.363617, Y: 103.359215, Z: 398.448975
X: -127.818176, Y: 228.834946, Z: 239.142853
X: 190.363632, Y: 62.699028, Z: 117.795914
X: 305.878754, Y: -7.786407, Z: 380.693878
X: 683.212097, Y: -60.097084, Z: 157.346939
X: 974.242371, Y: -459.941742, Z: -41.755104
X: 1231.212036, Y: -339.708740, Z: 215.632660
X: 1467.818115, Y: -559.669861, Z: 52.408157
X: 1293.757446, Y: -877.029114, Z: -256.775513
X: 1224.666626, Y: -818.776672, Z: -92.571426
X: 1315.333252, Y: -1079.747559, Z: -414.612244
X: 1276.909058, Y: -860.019348, Z: -403.224457
X: 1274.484741, Y: -999.359192, Z: -281.755096
X: 795.454468, Y: -1135.902832, Z: -67.469391
X: 692.908997, Y: -927.825195, Z: -3.918369
X: 744.545410, Y: -888.097107, Z: -321.795898
X: 568.302979, Y: -817.961121, Z: -191.020401
X: 537.636353, Y: -728.135925, Z: -312.857117
X: 593.999939, Y: -677.922302, Z: -422.204071
X: 626.606018, Y: -605.339783, Z: -150.612244
X: 660.181763, Y: -806.077637, Z: -211.346924
X: 651.939331, Y: -926.776672, Z: -179.632660
X: 880.060547, Y: -1046.194214, Z: -112.775513
X: 1200.787842, Y: -1321.844604, Z: -203.020416
X: 1234.363525, Y: -1218.155396, Z: -91.591835
X: 1182.363647, Y: -1125.067993, Z: 107.020401
X: 1204.181763, Y: -829.728149, Z: 176.938766
X: 1198.969604, Y: -581.572754, Z: 172.775497
X: 1253.030273, Y: -407.980560, Z: 112.530609
X: 1200.302979, Y: -153.067963, Z: 116.693878
X: 1098.727173, Y: -22.349514, Z: 78.489792
X: 955.454529, Y: 52.213593, Z: -64.163269
X: 662.727234, Y: 52.679607, Z: 12.489799
X: 262.484833, Y: 77.611649, Z: 82.530609
X: 45.515148, Y: 121.300964, Z: 97.959183
X: -47.818176, Y: 81.689316, Z: 152.938766
X: -129.636353, Y: 160.097076, Z: 174.122452
X: 133.999985, Y: 173.145630, Z: 312.367340
X: 355.454529, Y: -51.708736, Z: 252.367340
X: 455.333313, Y: -0.330097, Z: 192.367340
X: 1006.484741, Y: -263.281555, Z: 205.959167
X: 1071.090820, Y: -372.679596, Z: 136.285706
X: 1312.181641, Y: -504.213562, Z: 92.938766
X: 1326.242310, Y: -646.699036, Z: 104.448975
X: 1364.181763, Y: -667.553345, Z: -192.857132
X: 1349.151489, Y: -800.368896, Z: -39.795921
X: 1311.090820, Y: -768.563110, Z: -184.653046
X: 1121.757568, Y: -717.533997, Z: -197.755096
X: 916.424194, Y: -974.893127, Z: -64.530609
X: 750.848450, Y: -776.601929, Z: -153.795914
X: 798.363586, Y: -629.456299, Z: -307.959167
X: 798.727173, Y: -658.932007, Z: -442.163239
X: 706.242371, Y: -633.766968, Z: -403.224457
X: 739.575684, Y: -511.087372, Z: -58.408165
X: 821.393860, Y: -722.660156, Z: -347.265289
X: 682.242371, Y: -904.058228, Z: -321.551025
X: 817.515137, Y: -844.291260, Z: 51.061218
X: 1166.605957, Y: -1253.106812, Z: -105.551018
X: 1201.878662, Y: -1189.728149, Z: -110.693878
X: 1191.818115, Y: -1122.970825, Z: 55.836731
X: 1344.787720, Y: -925.844666, Z: 43.102043
X: 1293.757446, Y: -635.980591, Z: 101.387756
X: 1249.393921, Y: -441.067963, Z: 58.775505
X: 1183.818115, Y: -241.262131, Z: -40.530613
X: 1022.363586, Y: 29.495144, Z: -32.816330
X: 975.333252, Y: 29.495144, Z: 77.877548
X: 705.636353, Y: 9.456310, Z: -6.734699
X: 199.333328, Y: 65.378639, Z: 138.367340
X: 47.333332, Y: 85.883492, Z: 197.142853
X: -176.060593, Y: 51.514561, Z: 101.020416
X: -153.757568, Y: 22.970871, Z: 237.061218
X: 70.727264, Y: -126.854370, Z: 266.204071
X: 250.121201, Y: -29.805824, Z: 280.408173
X: 835.090820, Y: -40.174759, Z: 70.408157
X: 1222.121094, Y: -267.359192, Z: 171.795898
X: 1095.090820, Y: -567.708740, Z: 224.081635
X: 1260.060425, Y: -492.563080, Z: 165.918365
X: 1315.090820, Y: -691.786377, Z: -12.489799
X: 1247.818115, Y: -895.436890, Z: -87.306122
X: 1205.636230, Y: -1014.737854, Z: -257.877563
X: 1203.575684, Y: -926.427185, Z: -33.428574
X: 1211.212036, Y: -815.980530, Z: -98.326523
X: 987.818115, Y: -915.475647, Z: -207.795914
X: 725.636292, Y: -779.165039, Z: -94.040817
X: 598.484802, Y: -675.825195, Z: -74.693878
X: 600.909058, Y: -739.087341, Z: -87.183670
X: 635.575745, Y: -626.543640, Z: -59.387756
X: 761.757507, Y: -722.893188, Z: 5.877548
X: 823.818115, Y: -752.951416, Z: -128.081635
X: 837.999939, Y: -771.126160, Z: 27.183670
X: 1121.515137, Y: -1037.339844, Z: -70.653061
X: 1194.969604, Y: -962.776672, Z: 44.571426
X: 1361.999878, Y: -1069.728149, Z: 45.918365
X: 1461.393921, Y: -900.563049, Z: 139.346939
X: 1287.212036, Y: -589.145569, Z: 52.408157
X: 1401.030273, Y: -427.669891, Z: 54.979591
X: 1343.818115, Y: -263.864075, Z: 75.428574
X: 1152.909058, Y: -53.572811, Z: 116.326538
X: 986.605957, Y: 74.466019, Z: 78.734680
X: 808.181763, Y: 94.504852, Z: 13.102043
X: 383.818146, Y: 139.126205, Z: 39.061218
X: 139.333313, Y: 110.582520, Z: 221.877533
X: -119.818176, Y: 65.029121, Z: 237.918365
X: -211.090881, Y: -15.475728, Z: 245.387756
X: -127.696960, Y: -141.417480, Z: 248.326538
X: 138.727264, Y: 13.650484, Z: 266.326508
X: 808.181763, Y: -237.533981, Z: 38.693878
X: 929.272644, Y: -298.466003, Z: -182.816315
X: 1314.242310, Y: -284.601929, Z: 6.367348
X: 1285.757568, Y: -665.223267, Z: -113.632645
X: 1279.575684, Y: -606.504822, Z: 210.244904
X: 1409.515137, Y: -534.621338, Z: -100.040817
X: 1361.878662, Y: -854.660156, Z: -574.530579
X: 1301.999878, Y: -700.058228, Z: -23.755100
X: 1353.393799, Y: -749.922302, Z: -54.000000
X: 1150.848389, Y: -822.970825, Z: -415.591827
X: 958.484802, Y: -928.640747, Z: -327.673462
X: 906.484741, Y: -680.252380, Z: -116.326523
X: 841.151428, Y: -719.398071, Z: -106.408157
X: 422.606018, Y: -804.912598, Z: -138.734680
X: 221.636337, Y: -529.844666, Z: -279.183655
X: 412.303009, Y: -600.097046, Z: -467.755096
X: 575.696899, Y: -534.970825, Z: -410.938751
X: 724.909058, Y: -716.019409, Z: -317.387756
X: 904.060547, Y: -837.766968, Z: -284.448975
X: 945.878723, Y: -959.747559, Z: -106.530609
X: 1217.030151, Y: -1156.058228, Z: -180.979584
X: 1476.666626, Y: -1313.922241, Z: -351.428589
X: 1330.727173, Y: -1007.048462, Z: -63.673470
X: 1311.939209, Y: -732.796082, Z: 66.979584
X: 1256.060547, Y: -406.932037, Z: 27.795921
X: 1211.454468, Y: -220.174744, Z: -48.122452
X: 1189.151489, Y: 89.611649, Z: -69.061226
X: 1256.545410, Y: 169.300964, Z: -61.346939
X: 1134.363525, Y: 187.359222, Z: -163.836731
X: 850.121155, Y: 303.048553, Z: -34.408165
X: 636.545410, Y: 149.611649, Z: 190.163254
X: 95.575752, Y: 38.815533, Z: 324.367340
X: -204.181808, Y: 64.446602, Z: 355.469391
X: -201.757568, Y: -37.728157, Z: 71.755096
X: -373.393921, Y: 125.961151, Z: 128.448975
X: 195.818161, Y: 273.223297, Z: 238.285706
X: 509.636322, Y: 48.601936, Z: 173.877548
X: 578.606018, Y: -7.087379, Z: 9.306122
X: 1022.121155, Y: -264.097107, Z: -142.897949
X: 1203.575684, Y: -156.213577, Z: -169.102036
X: 1577.393799, Y: -379.320374, Z: -169.591827
X: 1327.696899, Y: -745.145630, Z: -158.816315
X: 1067.212036, Y: -897.650452, Z: -109.836731
X: 1288.302979, Y: -800.834961, Z: -126.734695
X: 1276.181763, Y: -1040.951416, Z: -335.755096
X: 1114.969604, Y: -917.572815, Z: 15.795914
X: 999.696899, Y: -952.873718, Z: -196.040802
X: 843.333313, Y: -928.873779, Z: -284.693878
X: 622.242371, Y: -824.718384, Z: -155.142853
X: 699.090881, Y: -773.689270, Z: -134.938766
X: 828.787842, Y: -550.582520, Z: -223.591827
X: 847.575684, Y: -800.252380, Z: -345.306122
X: 879.333252, Y: -834.038818, Z: -335.999969
X: 805.999939, Y: -848.485352, Z: -85.591835
X: 1005.636292, Y: -1126.932007, Z: -273.673462
X: 906.605957, Y: -1160.834961, Z: -285.673462
X: 1001.878723, Y: -1114.233032, Z: -49.224491
X: 1071.818115, Y: -1050.621338, Z: -130.530609
X: 1062.605957, Y: -653.922302, Z: -14.326534
X: 1263.333252, Y: -566.543701, Z: -131.265305
X: 1318.242310, Y: -259.553406, Z: -45.428574
X: 1327.333130, Y: -33.417473, Z: -138.122437
X: 1320.666504, Y: 78.776695, Z: -186.734680
X: 1116.302979, Y: 188.407761, Z: -57.795918
X: 781.999939, Y: 69.106789, Z: 165.183670
X: 216.787872, Y: 101.029129, Z: 310.163239
X: -14.363634, Y: -15.592233, Z: 327.061188
X: -290.121185, Y: -47.398060, Z: 276.489777
X: -373.515137, Y: 167.553391, Z: 89.877533
X: 70.727264, Y: 158.116501, Z: 31.224487
X: 224.060593, Y: -10.349515, Z: 200.326538
X: 415.939392, Y: 44.524269, Z: -58.530613
X: 1066.121094, Y: -229.611649, Z: 10.653061
X: 992.666565, Y: -551.514587, Z: -100.040817
X: 1269.515015, Y: -583.436890, Z: -9.183674
X: 1308.545288, Y: -1002.504822, Z: -316.775513
X: 1370.969604, Y: -990.388306, Z: 152.326523
X: 1483.575684, Y: -881.223267, Z: -208.040817
X: 1288.181763, Y: -1031.631104, Z: -372.122437
X: 1121.393921, Y: -954.504822, Z: -225.795914
X: 938.484741, Y: -1024.990234, Z: -378.612244
X: 691.696960, Y: -910.698975, Z: -299.632629
X: 558.121216, Y: -879.126160, Z: -140.448975
X: 502.727234, Y: -792.563049, Z: -92.571426
X: 407.333313, Y: -777.650452, Z: -304.653076
X: 449.878754, Y: -613.378601, Z: -184.775513
X: 661.151489, Y: -794.310608, Z: -449.755096
X: 517.757568, Y: -906.388306, Z: -467.510193
X: 654.727234, Y: -715.902832, Z: -93.061218
X: 920.302917, Y: -1106.893066, Z: -257.387756
X: 1044.787720, Y: -1341.766968, Z: -566.571411
X: 984.908997, Y: -1241.106689, Z: -331.224487
X: 1114.969604, Y: -1038.970825, Z: -242.081635
X: 1193.393799, Y: -800.718445, Z: -63.428570
