SWV ITM Data Console - ITM Port: 0
X: -95.939384, Y: -213.300964, Z: 912.489746
X: -92.424240, Y: -214.116486, Z: 905.877563
X: -98.727264, Y: -216.446594, Z: 904.775452
X: -95.454536, Y: -216.796112, Z: 906.244873
X: -100.060600, Y: -217.378632, Z: 906.734619
X: -100.787872, Y: -216.446594, Z: 905.510132
X: -99.818176, Y: -212.252411, Z: 905.510132
X: -98.121208, Y: -217.378632, Z: 904.530579
X: -96.060600, Y: -214.116486, Z: 908.081604
X: -99.090904, Y: -218.543671, Z: 908.204041
X: -94.727264, Y: -215.048538, Z: 907.224487
X: -98.363632, Y: -215.048538, Z: 906.734619
X: -97.272720, Y: -214.582520, Z: 905.755066
X: -97.757568, Y: -213.883499, Z: 905.265259
X: -99.333328, Y: -215.631058, Z: 904.040771
X: -97.757568, Y: -216.796112, Z: 907.101990
X: -98.727264, Y: -217.378632, Z: 910.040771
X: -95.333328, Y: -215.514557, Z: 906.612183
X: -98.242416, Y: -216.213577, Z: 907.959167
X: -95.090904, Y: -212.019409, Z: 906.857117
X: -96.303024, Y: -217.029114, Z: 907.224487
X: -88.303024, Y: -221.572815, Z: 900.122437
X: -101.636353, Y: -219.941742, Z: 906.000000
X: -95.212112, Y: -228.796112, Z: 916.040771
X: -86.727264, Y: -217.495148, Z: 904.285706
X: -98.727264, Y: -209.339798, Z: 906.244873
X: -102.727264, Y: -212.368927, Z: 906.979553
X: -106.848480, Y: -209.689316, Z: 894.612183
X: -123.575745, Y: -233.339798, Z: 912.612183
X: -106.484840, Y: -233.572815, Z: 909.306091
X: -89.030296, Y: -221.805817, Z: 901.346924
X: -84.909088, Y: -226.116486, Z: 909.795898
X: -87.090897, Y: -222.271835, Z: 912.979553
X: -81.878784, Y: -221.456299, Z: 910.897949
X: -82.484840, Y: -220.873779, Z: 903.673401
X: -90.969688, Y: -217.495148, Z: 898.530579
X: -105.878784, Y: -216.679596, Z: 901.959167
X: -115.575752, Y: -219.475723, Z: 897.061218
X: -114.363625, Y: -225.067947, Z: 908.938782
X: -105.636353, Y: -227.165039, Z: 910.530579
X: -99.454544, Y: -219.126205, Z: 903.061218
X: -99.090904, Y: -226.466003, Z: 896.571411
X: -106.727264, Y: -231.825241, Z: 911.755127
X: -92.787865, Y: -225.533981, Z: 911.877563
X: -87.454536, Y: -224.252411, Z: 902.204041
X: -84.545448, Y: -217.961166, Z: 906.122437
X: -97.515144, Y: -229.378632, Z: 900.857117
X: -103.454536, Y: -223.320389, Z: 906.979553
X: -101.515137, Y: -212.718430, Z: 901.714233
X: -107.939384, Y: -223.203873, Z: 903.428528
X: -101.515137, Y: -220.757278, Z: 911.265259
X: -100.545441, Y: -223.436890, Z: 901.469360
X: -100.545441, Y: -225.300964, Z: 903.428528
X: -95.575752, Y: -220.407761, Z: 903.918335
X: -100.787872, Y: -218.427170, Z: 904.163269
X: -98.606049, Y: -217.378632, Z: 907.101990
X: -98.969688, Y: -216.213577, Z: 908.448914
X: -99.939384, Y: -218.077652, Z: 903.918335
X: -99.454544, Y: -222.038834, Z: 903.795837
X: -103.090904, Y: -223.320389, Z: 904.897949
X: -103.212112, Y: -218.310669, Z: 901.836731
X: -102.969688, Y: -218.776688, Z: 906.244873
X: -98.242416, Y: -220.174744, Z: 907.836731
X: -96.666656, Y: -219.009705, Z: 906.000000
X: -96.181808, Y: -217.961166, Z: 907.591797
X: -99.454544, Y: -219.592224, Z: 905.510132
X: -101.515137, Y: -216.446594, Z: 906.489746
X: -97.999992, Y: -218.077652, Z: 904.775452
X: -95.454536, Y: -222.388336, Z: 904.040771
X: -97.636353, Y: -224.951447, Z: 901.469360
X: -102.121208, Y: -221.689316, Z: 905.632629
X: -101.636353, Y: -215.398056, Z: 905.387695
X: -99.575745, Y: -220.873779, Z: 906.489746
X: -94.848473, Y: -219.825241, Z: 905.510132
X: -96.181808, Y: -222.621353, Z: 903.061218
X: -95.575752, Y: -222.854355, Z: 904.897949
X: -98.969688, Y: -219.941742, Z: 906.367310
X: -96.787872, Y: -219.359222, Z: 905.877563
X: -97.151505, Y: -220.291245, Z: 908.693848
X: -97.878777, Y: -218.543671, Z: 904.163269
X: -99.212112, Y: -222.155319, Z: 903.306091
X: -101.878777, Y: -222.621353, Z: 900.979553
X: -98.848473, Y: -222.038834, Z: 908.693848
X: -98.606049, Y: -218.893188, Z: 904.897949
X: -99.090904, Y: -217.728149, Z: 906.612183
X: -97.151505, Y: -218.543671, Z: 904.530579
X: -96.181808, Y: -219.941742, Z: 904.897949
X: -95.212112, Y: -218.543671, Z: 906.612183
X: -98.121208, Y: -221.572815, Z: 905.265259
X: -99.454544, Y: -217.029114, Z: 905.142822
X: -102.606049, Y: -220.524261, Z: 906.734619
X: -98.606049, Y: -217.495148, Z: 904.775452
X: -99.333328, Y: -220.990280, Z: 904.653015
X: -97.999992, Y: -219.475723, Z: 909.183655
X: -94.363632, Y: -217.728149, Z: 905.265259
X: -98.121208, Y: -217.262131, Z: 907.959167
X: -98.484840, Y: -216.213577, Z: 904.285706
X: -98.484840, Y: -219.825241, Z: 904.897949
X: -95.454536, Y: -220.873779, Z: 903.183655
X: -98.363632, Y: -223.320389, Z: 906.979553
X: -98.242416, Y: -220.291245, Z: 905.142822
X: -99.212112, Y: -217.378632, Z: 907.224487
X: -97.999992, Y: -218.427170, Z: 907.591797
X: -94.848473, Y: -221.223297, Z: 905.142822
X: -96.181808, Y: -219.941742, Z: 904.285706
X: -96.060600, Y: -219.825241, Z: 902.693848
X: -99.333328, Y: -222.970871, Z: 906.244873
X: -96.666656, Y: -220.873779, Z: 906.122437
