SWV ITM Data Console - ITM Port: 0
X: 23.090908, Y: -9.533980, Z: 940.775452
X: 26.484848, Y: -10.582524, Z: 939.061157
X: 27.454544, Y: -10.582524, Z: 942.367371
X: 26.484848, Y: -6.737864, Z: 941.020386
X: 26.484848, Y: -9.883495, Z: 940.285645
X: 24.666664, Y: -7.669903, Z: 939.918335
X: 26.242424, Y: -9.300971, Z: 938.693848
X: 25.393938, Y: -8.834951, Z: 940.530579
X: 25.636362, Y: -8.485437, Z: 941.265259
X: 27.454544, Y: -9.766991, Z: 940.285645
X: 25.999998, Y: -8.718447, Z: 941.387756
X: 25.272726, Y: -7.320388, Z: 938.326477
X: 26.242424, Y: -10.116505, Z: 939.306091
X: 24.303028, Y: -9.883495, Z: 939.551025
X: 24.787876, Y: -9.300971, Z: 939.183594
X: 25.636362, Y: -10.699029, Z: 940.775452
X: 23.818180, Y: -8.951456, Z: 938.693848
X: 26.969696, Y: -9.883495, Z: 940.530579
X: 27.333332, Y: -6.271845, Z: 936.244873
X: 25.272726, Y: -10.349515, Z: 941.265259
X: 22.121212, Y: -9.766991, Z: 940.775452
X: 26.363634, Y: -8.485437, Z: 937.591797
X: 26.606060, Y: -9.883495, Z: 938.938721
X: 24.545452, Y: -9.067961, Z: 939.428589
X: 25.636362, Y: -7.669903, Z: 938.204041
X: 25.272726, Y: -8.834951, Z: 938.204041
X: 23.454544, Y: -8.718447, Z: 941.142822
X: 28.181818, Y: -8.485437, Z: 940.040771
X: 24.424240, Y: -10.233009, Z: 941.510193
X: 25.272726, Y: -8.485437, Z: 942.122375
X: 23.696968, Y: -8.485437, Z: 937.101990
X: 25.393938, Y: -7.553398, Z: 940.040771
X: 27.696970, Y: -9.300971, Z: 940.530579
X: 24.666664, Y: -9.533980, Z: 941.999939
X: 23.454544, Y: -9.184466, Z: 943.469360
X: 24.181816, Y: -8.135922, Z: 939.673462
X: 27.090908, Y: -9.766991, Z: 936.979553
X: 27.090908, Y: -10.233009, Z: 942.734680
X: 27.090908, Y: -6.970874, Z: 940.530579
X: 20.909092, Y: -7.786407, Z: 941.877502
X: 26.606060, Y: -8.368932, Z: 939.795898
X: 24.909088, Y: -8.485437, Z: 940.408142
X: 27.090908, Y: -9.067961, Z: 940.040771
X: 27.575756, Y: -9.883495, Z: 940.285645
X: 25.515150, Y: -7.203884, Z: 941.999939
X: 26.606060, Y: -8.601942, Z: 940.163208
X: 24.424240, Y: -8.135922, Z: 940.897949
X: 25.757574, Y: -8.368932, Z: 941.999939
X: 27.090908, Y: -11.631068, Z: 939.673462
X: 24.303028, Y: -10.116505, Z: 939.183594
X: 23.818180, Y: -7.320388, Z: 942.244812
X: 26.969696, Y: -8.718447, Z: 940.653015
X: 26.484848, Y: -9.533980, Z: 937.836731
X: 27.333332, Y: -10.233009, Z: 938.081604
X: 25.515150, Y: -7.902913, Z: 938.938721
X: 26.727272, Y: -12.213593, Z: 940.653015
X: 24.545452, Y: -10.116505, Z: 939.551025
X: 25.757574, Y: -8.019418, Z: 939.551025
X: 25.878786, Y: -10.000000, Z: 940.775452
X: 23.696968, Y: -10.349515, Z: 941.142822
X: 27.090908, Y: -8.019418, Z: 940.285645
X: 24.545452, Y: -10.000000, Z: 939.795898
X: 25.515150, Y: -9.883495, Z: 939.428589
X: 25.393938, Y: -9.766991, Z: 940.653015
X: 23.333332, Y: -9.766991, Z: 941.265259
X: 24.666664, Y: -8.951456, Z: 937.836731
X: 25.272726, Y: -9.300971, Z: 941.142822
