SWV ITM Data Console - ITM Port: 0
X: 47.818180, Y: -60.213589, Z: 938.081604
X: 50.969692, Y: -58.466019, Z: 941.020386
X: 48.787876, Y: -63.592228, Z: 940.040771
X: 47.212120, Y: -55.902912, Z: 937.714233
X: 50.363632, Y: -60.446602, Z: 937.959167
X: 48.787876, Y: -62.660191, Z: 937.346863
X: 44.787876, Y: -60.446602, Z: 938.571411
X: 52.181816, Y: -59.980583, Z: 939.428589
X: 47.818180, Y: -61.029121, Z: 936.979553
X: 47.696968, Y: -59.980583, Z: 937.591797
X: 48.303028, Y: -62.077667, Z: 937.224426
X: 44.666664, Y: -60.679607, Z: 938.816284
X: 51.090908, Y: -57.999996, Z: 938.938721
X: 44.666664, Y: -63.126209, Z: 939.428589
X: 50.606060, Y: -59.281551, Z: 937.591797
X: 49.151512, Y: -59.398056, Z: 938.816284
X: 48.909088, Y: -63.592228, Z: 937.224426
X: 47.939388, Y: -59.631065, Z: 940.653015
X: 52.666664, Y: -63.009708, Z: 938.571411
X: 45.030300, Y: -61.378639, Z: 938.081604
X: 48.181816, Y: -58.932037, Z: 937.836731
X: 45.878788, Y: -62.427185, Z: 936.979553
X: 51.575756, Y: -61.844658, Z: 937.101990
X: 49.272724, Y: -61.378639, Z: 939.551025
X: 50.727272, Y: -62.194172, Z: 938.326477
X: 49.878784, Y: -59.048542, Z: 937.714233
X: 48.181816, Y: -59.398056, Z: 940.285645
X: 49.151512, Y: -61.611649, Z: 938.693848
X: 49.636360, Y: -59.165047, Z: 941.755066
X: 50.848480, Y: -62.310677, Z: 937.469360
X: 47.575756, Y: -59.048542, Z: 939.551025
X: 51.818176, Y: -61.611649, Z: 939.673462
X: 49.999996, Y: -62.310677, Z: 936.489807
X: 47.818180, Y: -59.398056, Z: 939.795898
X: 50.242424, Y: -59.281551, Z: 939.918335
X: 50.484844, Y: -61.961166, Z: 937.714233
X: 49.757576, Y: -61.145630, Z: 941.142822
X: 50.121208, Y: -62.776699, Z: 941.142822
X: 49.151512, Y: -59.631065, Z: 937.959167
X: 51.333328, Y: -59.398056, Z: 936.979553
X: 49.393936, Y: -60.446602, Z: 937.959167
X: 46.969692, Y: -60.563103, Z: 937.591797
X: 48.181816, Y: -60.679607, Z: 936.244873
X: 47.575756, Y: -61.495144, Z: 936.734680
X: 47.818180, Y: -61.961166, Z: 937.101990
X: 50.121208, Y: -57.999996, Z: 938.448975
X: 47.575756, Y: -58.466019, Z: 938.204041
X: 50.848480, Y: -60.679607, Z: 939.551025
X: 48.666664, Y: -60.912621, Z: 936.734680
X: 49.999996, Y: -59.048542, Z: 941.142822
X: 50.121208, Y: -63.708736, Z: 939.795898
X: 50.484844, Y: -63.825241, Z: 939.551025
X: 50.727272, Y: -58.349514, Z: 939.183594
X: 47.454540, Y: -62.077667, Z: 936.979553
X: 48.787876, Y: -57.650482, Z: 939.183594
X: 48.424240, Y: -62.194172, Z: 936.612244
X: 50.969692, Y: -59.398056, Z: 939.306091
X: 45.999996, Y: -61.145630, Z: 940.285645
X: 51.454544, Y: -61.495144, Z: 938.448975
X: 46.363636, Y: -59.864079, Z: 939.551025
X: 48.545452, Y: -61.029121, Z: 936.489807
X: 47.696968, Y: -58.466019, Z: 938.693848
X: 50.848480, Y: -59.980583, Z: 938.816284
X: 47.090904, Y: -61.145630, Z: 938.571411
X: 48.666664, Y: -61.262135, Z: 939.306091
X: 50.363632, Y: -60.097084, Z: 939.673462
X: 48.181816, Y: -60.213589, Z: 936.857117
X: 50.121208, Y: -61.145630, Z: 939.795898
X: 50.121208, Y: -62.776699, Z: 936.244873
X: 48.060604, Y: -61.378639, Z: 939.918335
X: 50.121208, Y: -59.747570, Z: 938.326477
X: 47.212120, Y: -61.262135, Z: 937.591797
X: 50.242424, Y: -59.165047, Z: 936.612244
X: 46.727272, Y: -62.077667, Z: 940.408142
X: 50.484844, Y: -57.300968, Z: 940.775452
X: 46.969692, Y: -58.815533, Z: 939.061157
X: 48.424240, Y: -60.563103, Z: 940.040771
X: 45.757572, Y: -61.145630, Z: 935.877502
X: 47.090904, Y: -62.077667, Z: 942.367371
X: 47.212120, Y: -61.378639, Z: 940.775452
X: 51.454544, Y: -60.563103, Z: 937.101990
X: 47.696968, Y: -59.747570, Z: 939.183594
X: 48.545452, Y: -63.359222, Z: 935.142822
X: 49.999996, Y: -59.980583, Z: 938.571411
X: 48.666664, Y: -61.145630, Z: 936.244873
X: 48.909088, Y: -57.883495, Z: 938.693848
X: 45.999996, Y: -58.699028, Z: 939.428589
X: 50.242424, Y: -62.893204, Z: 939.183594
X: 49.272724, Y: -62.543686, Z: 937.346863
X: 48.545452, Y: -60.097084, Z: 937.224426
X: 47.696968, Y: -60.446602, Z: 938.816284
X: 47.090904, Y: -63.009708, Z: 937.224426
X: 50.242424, Y: -59.980583, Z: 937.591797
X: 46.727272, Y: -58.349514, Z: 937.591797
X: 45.636360, Y: -62.427185, Z: 938.204041
X: 51.454544, Y: -59.747570, Z: 940.040771
X: 47.696968, Y: -58.699028, Z: 938.204041
X: 49.878784, Y: -60.213589, Z: 938.081604
X: 45.030300, Y: -61.611649, Z: 938.938721
X: 49.151512, Y: -58.699028, Z: 937.591797
X: 47.454540, Y: -60.330097, Z: 934.408081
X: 47.696968, Y: -59.514561, Z: 938.081604
X: 49.272724, Y: -56.834949, Z: 938.204041
X: 50.848480, Y: -61.495144, Z: 939.306091
X: 47.333332, Y: -57.650482, Z: 937.714233
X: 49.393936, Y: -61.844658, Z: 937.591797
X: 50.727272, Y: -61.844658, Z: 938.204041
X: 49.636360, Y: -61.495144, Z: 939.306091
X: 49.393936, Y: -59.514561, Z: 939.306091
X: 50.484844, Y: -60.097084, Z: 936.734680
X: 47.454540, Y: -60.796116, Z: 938.081604
X: 47.454540, Y: -63.009708, Z: 936.122375
X: 43.333332, Y: -61.029121, Z: 939.673462
X: 51.575756, Y: -59.398056, Z: 938.693848
X: 49.878784, Y: -63.941746, Z: 938.326477
X: 48.181816, Y: -57.300968, Z: 937.224426
X: 50.121208, Y: -60.213589, Z: 937.346863
X: 48.545452, Y: -61.728153, Z: 937.836731
X: 50.242424, Y: -62.660191, Z: 938.326477
X: 50.363632, Y: -62.427185, Z: 937.591797
X: 50.606060, Y: -59.398056, Z: 939.428589
X: 49.515148, Y: -59.980583, Z: 939.673462
X: 49.272724, Y: -62.077667, Z: 936.122375
X: 46.242424, Y: -60.679607, Z: 938.938721
X: 49.636360, Y: -59.631065, Z: 939.795898
X: 46.727272, Y: -64.757278, Z: 937.836731
X: 48.303028, Y: -60.912621, Z: 935.999939
X: 50.363632, Y: -62.310677, Z: 938.816284
X: 52.303024, Y: -58.932037, Z: 938.938721
X: 49.757576, Y: -59.514561, Z: 936.122375
X: 48.424240, Y: -61.611649, Z: 939.183594
X: 52.181816, Y: -55.436893, Z: 937.224426
X: 49.636360, Y: -62.776699, Z: 939.918335
X: 47.696968, Y: -60.446602, Z: 938.816284
X: 49.999996, Y: -60.330097, Z: 938.816284
X: 50.363632, Y: -60.330097, Z: 938.938721
X: 46.727272, Y: -59.864079, Z: 936.244873
X: 50.848480, Y: -59.048542, Z: 937.959167
X: 47.818180, Y: -59.980583, Z: 935.142822
X: 50.121208, Y: -62.776699, Z: 938.448975
X: 51.696968, Y: -59.864079, Z: 938.571411
X: 48.424240, Y: -59.631065, Z: 938.816284
X: 48.666664, Y: -61.844658, Z: 940.040771
X: 49.151512, Y: -58.466019, Z: 940.163208
X: 48.060604, Y: -59.747570, Z: 938.204041
X: 47.818180, Y: -59.747570, Z: 937.959167
X: 45.151512, Y: -60.912621, Z: 935.999939
X: 51.333328, Y: -61.262135, Z: 939.061157
X: 49.151512, Y: -63.009708, Z: 939.061157
X: 45.636360, Y: -60.097084, Z: 939.918335
X: 48.909088, Y: -60.097084, Z: 934.897949
X: 46.848484, Y: -59.631065, Z: 938.571411
X: 46.848484, Y: -61.029121, Z: 935.999939
X: 52.666664, Y: -62.543686, Z: 938.081604
X: 44.424240, Y: -58.582520, Z: 935.632629
X: 49.515148, Y: -60.446602, Z: 937.346863
X: 46.363636, Y: -58.932037, Z: 936.489807
X: 48.303028, Y: -62.310677, Z: 941.142822
X: 53.515148, Y: -59.980583, Z: 937.224426
X: 44.909088, Y: -63.009708, Z: 937.101990
X: 46.969692, Y: -60.213589, Z: 937.836731
X: 47.333332, Y: -61.145630, Z: 940.040771
X: 47.939388, Y: -61.145630, Z: 937.959167
X: 48.666664, Y: -60.796116, Z: 936.734680
X: 47.212120, Y: -63.126209, Z: 938.571411
X: 49.636360, Y: -58.582520, Z: 936.857117
X: 50.363632, Y: -63.126209, Z: 936.734680
X: 48.060604, Y: -62.660191, Z: 938.081604
X: 47.575756, Y: -58.815533, Z: 938.081604
X: 49.393936, Y: -63.475727, Z: 937.224426
X: 48.666664, Y: -62.543686, Z: 937.101990
X: 46.969692, Y: -59.747570, Z: 937.101990
X: 50.606060, Y: -61.961166, Z: 938.816284
X: 46.727272, Y: -59.514561, Z: 938.448975
X: 51.090908, Y: -59.980583, Z: 938.448975
X: 47.454540, Y: -62.893204, Z: 936.734680
X: 48.424240, Y: -59.747570, Z: 939.061157
X: 50.606060, Y: -61.378639, Z: 936.244873
X: 48.303028, Y: -62.543686, Z: 936.979553
X: 46.727272, Y: -58.932037, Z: 938.448975
X: 47.090904, Y: -59.514561, Z: 938.693848
X: 49.757576, Y: -59.631065, Z: 937.959167
X: 50.727272, Y: -62.893204, Z: 940.040771
X: 49.272724, Y: -62.310677, Z: 937.469360
X: 48.303028, Y: -62.427185, Z: 937.346863
X: 46.969692, Y: -59.864079, Z: 938.081604
X: 50.848480, Y: -61.145630, Z: 937.224426
X: 48.303028, Y: -60.912621, Z: 935.999939
X: 47.818180, Y: -59.165047, Z: 938.693848
X: 49.393936, Y: -59.747570, Z: 940.897949
X: 49.999996, Y: -60.912621, Z: 938.816284
X: 48.424240, Y: -59.864079, Z: 936.612244
X: 48.666664, Y: -61.262135, Z: 939.183594
X: 47.818180, Y: -60.679607, Z: 939.306091
X: 47.696968, Y: -62.427185, Z: 939.306091
X: 49.878784, Y: -60.679607, Z: 936.979553
X: 50.242424, Y: -61.262135, Z: 938.326477
X: 49.393936, Y: -62.776699, Z: 940.163208
X: 48.545452, Y: -57.999996, Z: 939.061157
X: 48.424240, Y: -61.262135, Z: 936.734680
X: 47.454540, Y: -58.932037, Z: 936.857117
X: 48.303028, Y: -59.048542, Z: 937.346863
X: 48.666664, Y: -61.262135, Z: 939.306091
X: 46.242424, Y: -58.699028, Z: 937.469360
X: 47.696968, Y: -63.009708, Z: 938.693848
X: 51.696968, Y: -61.378639, Z: 936.244873
X: 48.909088, Y: -61.029121, Z: 937.959167
X: 49.151512, Y: -61.145630, Z: 937.959167
X: 47.333332, Y: -63.009708, Z: 939.795898
X: 48.303028, Y: -59.514561, Z: 939.918335
X: 45.999996, Y: -58.932037, Z: 936.979553
X: 50.484844, Y: -61.378639, Z: 940.163208
X: 49.151512, Y: -61.262135, Z: 935.877502
X: 48.909088, Y: -60.796116, Z: 940.040771
