SWV ITM Data Console - ITM Port: 0
X: 28.303028, Y: -5.572815, Z: 939.551025
X: 27.818180, Y: -7.320388, Z: 938.571411
X: 28.545452, Y: -2.427185, Z: 939.061157
X: 25.878786, Y: -3.592233, Z: 941.632629
X: 26.727272, Y: -3.825243, Z: 938.204041
X: 25.999998, Y: -2.776699, Z: 934.530579
X: 27.818180, Y: -4.407767, Z: 938.938721
X: 29.878788, Y: -2.543690, Z: 940.653015
X: 27.575756, Y: -2.310680, Z: 938.693848
X: 28.787878, Y: -6.970874, Z: 944.693848
X: 24.666664, Y: -4.990292, Z: 941.020386
X: 28.303028, Y: -3.009709, Z: 937.714233
X: 28.424242, Y: -1.495146, Z: 938.326477
X: 27.454544, Y: -3.126214, Z: 941.632629
X: 28.060604, Y: 0.135921, Z: 939.183594
X: 28.424242, Y: -5.456311, Z: 942.244812
X: 24.787876, Y: -5.339806, Z: 938.693848
X: 29.757574, Y: -2.543690, Z: 939.428589
X: 28.424242, Y: -4.291263, Z: 937.714233
X: 28.303028, Y: -2.427185, Z: 940.163208
X: 27.090908, Y: -4.640777, Z: 943.469360
X: 27.090908, Y: -1.844661, Z: 941.142822
X: 28.060604, Y: -2.194175, Z: 934.040771
X: 28.303028, Y: -0.912621, Z: 935.755066
X: 29.757574, Y: -4.990292, Z: 945.428589
X: 30.363636, Y: -4.058253, Z: 940.040771
X: 28.303028, Y: -4.757281, Z: 940.530579
X: 28.303028, Y: -4.524272, Z: 942.244812
X: 28.787878, Y: -5.223301, Z: 939.918335
X: 26.848484, Y: -2.310680, Z: 942.367371
X: 26.969696, Y: -3.825243, Z: 938.938721
X: 28.545452, Y: -4.640777, Z: 940.163208
X: 27.818180, Y: -1.145631, Z: 939.551025
X: 31.333332, Y: -1.961165, Z: 939.551025
X: 29.757574, Y: -3.825243, Z: 946.530579
X: 26.969696, Y: -5.223301, Z: 937.101990
X: 28.181818, Y: -2.427185, Z: 936.857117
X: 27.818180, Y: -3.941748, Z: 947.387756
X: 27.939394, Y: -5.106796, Z: 941.510193
X: 28.787878, Y: -3.708738, Z: 937.714233
X: 27.090908, Y: -4.058253, Z: 941.632629
X: 27.818180, Y: -1.029126, Z: 939.183594
X: 28.181818, Y: -4.524272, Z: 942.734680
X: 25.515150, Y: -1.611651, Z: 939.673462
X: 28.181818, Y: -2.543690, Z: 940.408142
X: 28.545452, Y: -1.728156, Z: 938.938721
X: 28.181818, Y: -1.961165, Z: 941.877502
X: 26.969696, Y: -5.572815, Z: 941.755066
X: 27.454544, Y: -1.728156, Z: 940.653015
X: 28.787878, Y: -5.339806, Z: 940.408142
X: 29.272726, Y: -4.058253, Z: 939.061157
X: 28.181818, Y: -3.475729, Z: 940.285645
X: 29.878788, Y: -2.776699, Z: 941.265259
X: 28.666666, Y: -1.145631, Z: 939.061157
X: 23.939392, Y: -4.407767, Z: 941.632629
X: 29.151514, Y: -5.456311, Z: 941.387756
X: 28.424242, Y: -3.708738, Z: 942.244812
X: 27.333332, Y: -1.611651, Z: 940.408142
X: 28.909090, Y: -3.242719, Z: 940.408142
X: 25.272726, Y: -4.058253, Z: 940.897949
X: 27.575756, Y: -5.223301, Z: 937.591797
X: 26.121212, Y: -6.970874, Z: 939.918335
X: 29.151514, Y: -2.776699, Z: 940.653015
X: 26.484848, Y: -4.407767, Z: 940.408142
X: 26.969696, Y: -3.825243, Z: 939.183594
X: 28.545452, Y: -3.708738, Z: 941.387756
X: 27.333332, Y: -1.844661, Z: 939.428589
X: 25.272726, Y: -4.058253, Z: 941.142822
X: 26.848484, Y: -4.873787, Z: 941.142822
X: 29.030302, Y: -5.689321, Z: 941.387756
X: 26.121212, Y: -3.242719, Z: 939.551025
X: 25.636362, Y: -3.825243, Z: 939.918335
X: 27.575756, Y: -6.155340, Z: 941.020386
X: 27.818180, Y: -1.378641, Z: 940.897949
X: 24.666664, Y: -3.592233, Z: 940.163208
X: 26.969696, Y: -4.407767, Z: 940.408142
X: 24.424240, Y: -2.077670, Z: 938.693848
X: 28.787878, Y: -4.524272, Z: 940.163208
X: 29.393938, Y: -3.475729, Z: 938.816284
X: 27.090908, Y: -1.961165, Z: 939.918335
X: 28.181818, Y: -1.262136, Z: 938.571411
X: 28.060604, Y: -1.961165, Z: 938.204041
X: 27.454544, Y: -3.359224, Z: 939.428589
X: 30.606060, Y: -2.893204, Z: 940.897949
X: 26.484848, Y: -4.174757, Z: 942.612244
X: 27.454544, Y: -3.825243, Z: 941.265259
X: 27.818180, Y: -2.427185, Z: 939.428589
X: 26.484848, Y: -2.893204, Z: 940.163208
X: 26.606060, Y: -1.495146, Z: 940.530579
X: 26.606060, Y: -4.757281, Z: 940.408142
X: 26.484848, Y: -4.174757, Z: 940.775452
X: 25.999998, Y: -3.475729, Z: 941.755066
X: 25.515150, Y: -2.077670, Z: 941.387756
X: 28.666666, Y: -1.262136, Z: 943.224426
X: 27.575756, Y: -4.990292, Z: 939.306091
X: 27.575756, Y: -2.543690, Z: 941.510193
X: 29.515150, Y: -3.941748, Z: 941.265259
X: 29.030302, Y: -5.689321, Z: 940.775452
X: 27.454544, Y: -1.844661, Z: 941.142822
X: 27.575756, Y: -5.339806, Z: 938.938721
X: 28.060604, Y: -2.776699, Z: 941.999939
X: 28.181818, Y: -0.912621, Z: 942.122375
X: 29.999998, Y: -3.708738, Z: 937.836731
X: 27.818180, Y: -3.242719, Z: 940.897949
X: 28.666666, Y: -3.941748, Z: 939.673462
X: 27.090908, Y: -6.038835, Z: 940.775452
X: 27.090908, Y: -1.728156, Z: 939.183594
X: 26.727272, Y: -5.339806, Z: 941.510193
X: 26.242424, Y: -4.990292, Z: 939.551025
X: 29.393938, Y: -1.844661, Z: 939.673462
X: 29.757574, Y: -2.543690, Z: 937.714233
X: 27.454544, Y: -3.242719, Z: 940.040771
X: 30.727272, Y: -3.708738, Z: 941.999939
X: 28.181818, Y: -2.776699, Z: 939.795898
X: 26.606060, Y: -4.174757, Z: 943.101990
X: 28.787878, Y: -4.407767, Z: 940.285645
X: 26.848484, Y: -0.912621, Z: 941.387756
X: 25.393938, Y: -3.825243, Z: 940.653015
X: 26.727272, Y: -1.495146, Z: 942.244812
X: 29.030302, Y: -3.126214, Z: 940.775452
X: 27.454544, Y: -2.310680, Z: 941.755066
X: 26.242424, Y: -3.009709, Z: 941.632629
X: 28.666666, Y: -2.776699, Z: 941.755066
X: 27.212120, Y: -3.941748, Z: 941.387756
X: 26.363634, Y: -4.291263, Z: 937.346863
X: 26.727272, Y: -4.291263, Z: 939.918335
X: 26.363634, Y: -4.407767, Z: 940.285645
X: 30.121212, Y: -4.990292, Z: 941.755066
X: 29.393938, Y: -4.640777, Z: 940.285645
X: 26.848484, Y: -3.708738, Z: 938.326477
X: 27.454544, Y: -3.825243, Z: 939.183594
X: 29.393938, Y: -5.106796, Z: 941.632629
X: 28.181818, Y: -4.640777, Z: 938.938721
X: 28.303028, Y: -5.456311, Z: 941.020386
X: 29.030302, Y: -4.174757, Z: 941.999939
X: 26.363634, Y: -4.757281, Z: 938.081604
X: 26.969696, Y: -3.009709, Z: 942.489807
X: 26.969696, Y: -2.660194, Z: 941.999939
X: 25.757574, Y: -4.640777, Z: 936.734680
X: 27.212120, Y: -2.893204, Z: 939.061157
X: 27.090908, Y: -4.174757, Z: 939.551025
X: 28.545452, Y: -4.640777, Z: 939.428589
X: 26.969696, Y: -4.640777, Z: 937.836731
X: 27.333332, Y: -4.757281, Z: 939.061157
X: 26.969696, Y: -3.825243, Z: 940.163208
X: 27.939394, Y: -3.708738, Z: 941.387756
X: 26.606060, Y: -3.126214, Z: 941.755066
X: 29.151514, Y: -2.776699, Z: 940.653015
X: 26.727272, Y: -2.427185, Z: 939.673462
X: 28.666666, Y: -3.592233, Z: 940.408142
X: 28.303028, Y: -2.660194, Z: 938.693848
X: 26.848484, Y: -3.708738, Z: 939.673462
X: 28.181818, Y: -2.194175, Z: 939.061157
X: 28.666666, Y: -3.825243, Z: 939.795898
X: 26.363634, Y: -2.543690, Z: 937.591797
X: 24.909088, Y: -2.543690, Z: 941.877502
X: 28.181818, Y: -6.155340, Z: 940.897949
X: 25.999998, Y: -2.077670, Z: 943.224426
X: 27.212120, Y: -3.359224, Z: 941.142822
X: 28.181818, Y: -2.310680, Z: 938.816284
X: 23.696968, Y: -3.708738, Z: 940.040771
X: 24.424240, Y: -3.126214, Z: 940.530579
X: 28.787878, Y: -3.592233, Z: 939.673462
X: 26.121212, Y: -2.776699, Z: 940.530579
X: 27.818180, Y: -2.893204, Z: 940.653015
X: 28.787878, Y: -3.708738, Z: 940.408142
X: 27.333332, Y: -3.592233, Z: 942.734680
X: 26.969696, Y: -1.145631, Z: 941.632629
X: 28.181818, Y: -3.592233, Z: 940.530579
X: 29.272726, Y: -2.543690, Z: 938.081604
X: 28.181818, Y: -0.563107, Z: 937.959167
X: 26.969696, Y: -4.058253, Z: 939.795898
X: 30.121212, Y: -3.941748, Z: 942.612244
X: 27.333332, Y: -4.757281, Z: 940.653015
X: 26.727272, Y: -3.242719, Z: 939.551025
X: 27.818180, Y: -0.912621, Z: 938.938721
X: 24.787876, Y: -5.339806, Z: 939.795898
X: 27.696970, Y: -1.495146, Z: 938.571411
X: 28.666666, Y: -5.572815, Z: 941.510193
X: 26.242424, Y: -4.058253, Z: 938.081604
X: 25.515150, Y: -4.873787, Z: 940.408142
X: 29.030302, Y: -3.242719, Z: 936.612244
X: 24.787876, Y: -4.407767, Z: 941.510193
X: 27.212120, Y: -2.310680, Z: 939.795898
X: 28.303028, Y: -5.456311, Z: 940.653015
X: 25.393938, Y: -1.961165, Z: 940.163208
X: 26.242424, Y: -6.504854, Z: 942.367371
X: 28.181818, Y: -2.310680, Z: 938.693848
X: 27.090908, Y: -3.475729, Z: 941.510193
X: 28.666666, Y: -4.873787, Z: 938.816284
X: 25.515150, Y: -3.592233, Z: 942.244812
X: 27.212120, Y: -4.990292, Z: 943.101990
X: 29.515150, Y: -2.077670, Z: 939.551025
X: 26.363634, Y: -4.990292, Z: 938.816284
X: 28.181818, Y: -4.640777, Z: 940.530579
X: 27.333332, Y: -2.077670, Z: 939.673462
X: 28.060604, Y: -5.339806, Z: 941.387756
X: 27.333332, Y: -3.708738, Z: 939.673462
X: 29.030302, Y: -3.941748, Z: 938.081604
X: 26.727272, Y: -2.893204, Z: 940.040771
