SWV ITM Data Console - ITM Port: 0
X: 1209.151489, Y: -995.864075, Z: 174.979584
X: 1190.121094, Y: -812.019348, Z: 105.306122
X: 1102.605957, Y: -896.019409, Z: -83.020409
X: 906.121155, Y: -692.485413, Z: 56.571426
X: 683.454468, Y: -694.932007, Z: 140.081635
X: 660.545410, Y: -675.825195, Z: 96.612244
X: 703.090820, Y: -645.184448, Z: 135.061218
X: 804.302979, Y: -709.029114, Z: 35.510201
X: 885.515137, Y: -826.000000, Z: 52.040810
X: 1046.242432, Y: -904.407715, Z: 205.591827
X: 1102.727173, Y: -1124.601807, Z: 91.959183
X: 1078.727173, Y: -1047.475708, Z: 129.183670
X: 1141.151367, Y: -1037.572876, Z: 202.408173
X: 1163.939331, Y: -1070.194214, Z: 180.489792
X: 1270.969604, Y: -888.679565, Z: 211.591827
X: 1237.151489, Y: -841.728149, Z: 83.142853
X: 1022.848389, Y: -667.203857, Z: 48.244888
X: 834.121155, Y: -428.601929, Z: 125.510208
X: 626.969666, Y: -285.067963, Z: 153.428558
X: 506.121185, Y: -180.563095, Z: 269.265289
X: 426.484802, Y: -77.689323, Z: 347.265289
X: 360.060577, Y: -22.349514, Z: 295.591827
X: 247.575745, Y: 13.883495, Z: 182.326523
X: 72.666656, Y: -152.135910, Z: -273.428558
X: -14.121210, Y: -247.203873, Z: -164.204071
X: 86.242416, Y: -327.126190, Z: -89.510208
X: 279.939362, Y: -765.300903, Z: -115.469391
X: 651.090881, Y: -531.126221, Z: 535.714294
X: 1086.242310, Y: -820.174744, Z: 235.714264
X: 1363.939331, Y: -809.456299, Z: 253.714294
X: 1494.121094, Y: -1016.019348, Z: -2.693878
X: 1415.333252, Y: -827.747559, Z: 379.469391
X: 1462.605957, Y: -788.951477, Z: 196.775513
X: 1026.969604, Y: -946.116455, Z: -182.693878
X: 1073.393921, Y: -817.378601, Z: 96.857147
X: 1010.121155, Y: -856.990234, Z: 89.020401
X: 1022.606018, Y: -503.398041, Z: 215.142853
X: 1133.030151, Y: -533.805786, Z: 79.591843
X: 960.908997, Y: -710.427185, Z: -133.714279
X: 897.515076, Y: -815.165039, Z: -72.367348
X: 906.969666, Y: -777.184448, Z: 98.326538
X: 1037.636353, Y: -862.466003, Z: 70.408157
X: 1006.969666, Y: -1012.524231, Z: 22.530609
X: 934.242371, Y: -1044.213623, Z: 23.877548
X: 909.757568, Y: -941.922302, Z: 186.122437
