SWV ITM Data Console - ITM Port: 0
X: 1057.636353, Y: 216.485428, Z: -206.816315
X: 1192.787842, Y: 226.621353, Z: -192.857132
X: 1302.242310, Y: 161.029129, Z: -183.306122
X: 1233.030151, Y: 143.553406, Z: -78.000000
X: 1187.333252, Y: 87.514557, Z: -52.775509
X: 1069.272583, Y: 44.058250, Z: -63.306122
X: 976.545410, Y: 45.805824, Z: -120.979591
X: 949.393921, Y: 82.737862, Z: -93.795914
X: 972.666626, Y: 40.796116, Z: -124.040817
X: 807.333252, Y: 34.504852, Z: -121.959183
X: 713.999939, Y: 14.699028, Z: -59.877552
X: 659.939392, Y: -5.922330, Z: -48.857143
X: 666.000000, Y: -66.388351, Z: -16.530613
X: 626.242371, Y: -179.514557, Z: 13.959175
X: 639.333252, Y: -310.466003, Z: -96.612244
X: 676.060547, Y: -459.126190, Z: -180.979584
X: 934.484802, Y: -618.038818, Z: -114.734695
X: 1067.454468, Y: -717.300903, Z: -248.081619
X: 1052.424194, Y: -868.291199, Z: -266.816315
X: 883.333252, Y: -959.164978, Z: -180.979584
X: 874.969666, Y: -1115.864014, Z: -274.408142
X: 855.454529, Y: -900.679565, Z: -419.877533
X: 966.848389, Y: -860.252441, Z: -52.530613
X: 863.212097, Y: -738.970825, Z: -144.000000
X: 942.363586, Y: -692.368896, Z: -172.775513
X: 1099.212036, Y: -597.300964, Z: 35.510201
X: 1235.818115, Y: -585.766968, Z: -4.897961
X: 1343.212036, Y: -734.194153, Z: -187.102036
X: 1473.999878, Y: -904.990234, Z: -319.346924
X: 1550.727173, Y: -1102.349487, Z: -294.489777
X: 1562.121094, Y: -1128.446533, Z: -272.448975
X: 1554.121094, Y: -1110.504883, Z: -391.836700
X: 1335.696899, Y: -907.436890, Z: -271.959167
X: 917.757507, Y: -726.504822, Z: -323.755066
X: 960.302979, Y: -527.514526, Z: -170.326523
X: 690.000000, Y: -221.922333, Z: -46.653061
X: 843.696899, Y: -221.456299, Z: 66.489792
X: 455.090881, Y: -217.378632, Z: 54.979591
X: 206.606049, Y: -278.077667, Z: 136.040802
X: 6.606061, Y: -428.019409, Z: 108.979584
X: 61.999996, Y: -516.097046, Z: 144.612228
X: 410.484802, Y: -786.737854, Z: 5.387756
X: 704.181763, Y: -1044.912598, Z: -165.551025
X: 1063.939331, Y: -1125.184448, Z: -248.081619
X: 1269.636230, Y: -1331.281494, Z: -296.693848
X: 1256.908936, Y: -1419.825195, Z: -392.326508
X: 1260.666504, Y: -1398.621216, Z: -24.489796
X: 1150.121094, Y: -1300.291260, Z: -414.244904
X: 1097.272705, Y: -882.504822, Z: -264.000000
X: 1233.030151, Y: -772.058228, Z: -125.877548
X: 1048.424072, Y: -721.145630, Z: -90.122452
X: 848.545410, Y: -563.747559, Z: -21.918369
X: 864.666626, Y: -617.572815, Z: 52.897957
X: 802.727234, Y: -686.194153, Z: -33.918365
X: 877.636292, Y: -747.126221, Z: -168.979584
X: 1013.878723, Y: -1013.106750, Z: -184.408157
X: 1041.030273, Y: -999.009705, Z: -257.387756
X: 1092.545410, Y: -1252.990356, Z: -347.510193
X: 1144.060547, Y: -1333.728027, Z: -209.020401
X: 1053.151489, Y: -1237.145630, Z: -374.204071
X: 1150.727173, Y: -1199.397949, Z: -555.551025
X: 1247.818115, Y: -1140.330078, Z: -199.469376
X: 1104.666626, Y: -739.436890, Z: -255.673462
X: 1148.424072, Y: -315.242706, Z: -58.530613
X: 991.818115, Y: -1051.553345, Z: -204.244904
X: -796.908997, Y: -111.941750, Z: 351.428558
