SWV ITM Data Console - ITM Port: 0
X: 1191.333252, Y: -950.543640, Z: -112.530609
X: 1366.848389, Y: -1036.174683, Z: 129.918365
X: 1101.636230, Y: -870.621338, Z: 95.632645
X: 1211.333252, Y: -784.291199, Z: 54.734688
X: 1190.242310, Y: -645.417419, Z: -30.612246
X: 1111.212036, Y: -442.699005, Z: -39.183674
X: 1149.151489, Y: -330.038818, Z: -135.551025
X: 931.696899, Y: -140.252426, Z: -7.836735
X: 589.515076, Y: -42.388351, Z: -54.122448
X: -6.969696, Y: 123.514572, Z: 171.918365
X: -300.424225, Y: 200.757278, Z: 134.326538
X: -518.969666, Y: 181.067963, Z: 67.224487
X: -409.999969, Y: 176.640762, Z: 61.224487
X: -56.666664, Y: 168.019409, Z: 142.040817
X: 331.818176, Y: 2.932038, Z: 74.571411
X: 388.787872, Y: -168.796112, Z: 249.061218
X: 1121.393921, Y: -475.320374, Z: -283.346924
X: 896.424194, Y: -443.980591, Z: -322.285706
X: 1143.818115, Y: -720.097046, Z: 273.918365
X: 1460.181641, Y: -623.048523, Z: -152.693878
X: 1398.242310, Y: -766.698975, Z: 213.306122
X: 1402.969604, Y: -849.067932, Z: -94.530609
X: 1216.545410, Y: -692.834961, Z: 97.346939
X: 1599.212036, Y: -585.300964, Z: 38.081627
X: 1340.424194, Y: -593.922302, Z: 12.244896
X: 1307.818115, Y: -656.718445, Z: 57.428566
X: 1285.999878, Y: -585.650452, Z: 176.693863
X: 1592.787720, Y: -736.058228, Z: 38.326530
X: 1385.757568, Y: -766.582458, Z: 95.265305
X: 1330.484863, Y: -804.796082, Z: 141.673462
X: 1423.575684, Y: -837.067932, Z: -8.571430
X: 1378.969604, Y: -879.126160, Z: 32.081627
X: 1326.969604, Y: -775.320374, Z: 89.755096
X: 1188.909058, Y: -601.145630, Z: -128.448975
X: 1102.848389, Y: -449.922333, Z: -23.755100
X: 1087.090820, Y: -320.135925, Z: -113.877548
X: 708.060547, Y: -57.999996, Z: -26.693878
X: 810.242371, Y: -69.766983, Z: -255.795898
X: 256.787842, Y: 199.941742, Z: 97.102036
X: 60.666664, Y: 270.893219, Z: 65.265297
X: -456.424194, Y: 286.038818, Z: -20.448982
X: -715.939331, Y: 287.087372, Z: 54.489792
X: -470.969666, Y: 255.747559, Z: 251.755096
X: -112.545448, Y: 163.941727, Z: -63.428570
X: 295.090881, Y: -31.203884, Z: 181.714279
X: 671.696899, Y: -213.766983, Z: 144.612228
X: 1256.424194, Y: -221.456299, Z: -304.653076
X: 1099.575684, Y: -524.718384, Z: 347.265289
X: 1126.605957, Y: -577.378601, Z: 47.265297
X: 1262.363525, Y: -668.485413, Z: -67.469391
X: 1115.090820, Y: -799.320374, Z: 378.000000
X: 1297.757568, Y: -870.388306, Z: -95.632652
X: 1299.575684, Y: -866.543640, Z: -142.163269
X: 1105.151367, Y: -787.320312, Z: 34.897957
X: 1054.121094, Y: -584.485413, Z: 233.020416
X: 1282.121216, Y: -539.398010, Z: 98.204071
X: 1228.909058, Y: -524.834900, Z: 289.224487
X: 1381.515015, Y: -649.728149, Z: 155.265289
X: 1493.272583, Y: -713.456299, Z: 84.489792
X: 1466.363525, Y: -763.902832, Z: 102.122437
